TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;170820;200000;87.1846000;87.2383000;87.0031000;87.1151000;9805
EURRUB;60;170820;210000;87.1142000;87.1857000;87.0447000;87.1119000;6435
EURRUB;60;170820;220000;87.1119000;87.2892000;87.0373000;87.2809000;8466
EURRUB;60;170820;230000;87.2801000;87.5393000;87.1908000;87.4452000;11251
EURRUB;60;180820;0;87.4452000;87.5034000;87.3425000;87.3438000;4648
EURRUB;60;180820;10000;87.3020000;87.4980000;87.2164000;87.3232000;109
EURRUB;60;180820;20000;87.2817000;87.4980000;87.2817000;87.3150000;19
EURRUB;60;180820;30000;87.3150000;87.4360000;87.1580000;87.3566000;104
EURRUB;60;180820;40000;87.3559000;87.5480000;87.2080000;87.3292000;873
EURRUB;60;180820;50000;87.3319000;87.4780000;87.2780000;87.3960000;2637
EURRUB;60;180820;60000;87.3942000;87.4830000;87.3745000;87.3969000;4144
EURRUB;60;180820;70000;87.4010000;87.4770000;87.3670000;87.3692000;2909
EURRUB;60;180820;80000;87.3699000;87.4870000;87.3699000;87.4003000;1212
EURRUB;60;180820;90000;87.3575000;87.5040000;87.3028000;87.4137000;2141
EURRUB;60;180820;100000;87.4197000;87.6460000;87.2685000;87.3604000;7072
EURRUB;60;180820;110000;87.3600000;87.6126000;87.1940000;87.2735000;31097
EURRUB;60;180820;120000;87.2712000;87.2972000;86.9822000;87.1257000;24497
EURRUB;60;180820;130000;87.1257000;87.1604000;86.9231000;87.0621000;17987
EURRUB;60;180820;140000;87.0644000;87.0716000;86.7405000;86.8141000;14701
EURRUB;60;180820;150000;86.8141000;87.1930000;86.7389000;87.1718000;15546
EURRUB;60;180820;160000;87.1751000;87.3073000;86.9562000;87.2872000;21565
EURRUB;60;180820;170000;87.2923000;87.5026000;87.1977000;87.3558000;25559
EURRUB;60;180820;180000;87.3558000;87.4506000;87.1611000;87.1881000;26995
EURRUB;60;180820;190000;87.1885000;87.4186000;87.0837000;87.3643000;13152
EURRUB;60;180820;200000;87.3639000;87.6008000;87.2927000;87.5575000;12841
EURRUB;60;180820;210000;87.5582000;87.5680000;87.2978000;87.3574000;9107
EURRUB;60;180820;220000;87.3568000;87.3813000;87.2118000;87.3629000;7482
EURRUB;60;180820;230000;87.3623000;87.3810000;87.1764000;87.2958000;6170
